"Category","name","name"
"Wahkiakum",0,0
"Alger",0,0
"Ashland",0,0
"Nantucket",0,0
"Franklin",0,0
"Bayfield",0,0
"Hyde",0,0
"Pacific",0,0
"San Juan",0,0
"Matagorda",0,0
"Mackinac",0,0
"Northampton",0,0
"McIntosh",0,0
"Calhoun",0,0
"Catron",0,0
"Cavalier",0,0
"Lake",0,0
"Todd",0,0
"Mellette",0,0
"Pecos",0,0
"Brewster",0,0
"Presque Isle",0,0
"Blaine",0,0
"Lake",0,0
"Jeff Davis",0,0
"Presidio",0,0
"Daniels",0,0
"Chouteau",0,0
"Covington",0,0
"Divide",0,0
"Kenedy",0,0
"Lewis",0,0
"Lincoln",0,0
"Boundary",0,0
"Rusk",0,0
"Taylor",0,0
"Staunton",0,0
"Toole",0,0
"Emporia",0,0
"Buena Vista",0,0
"Owyhee",0,0
"Renville",0,0
"Bottineau",0,0
"Kane",0,0
"Bent",0,0
"Kiowa",0,0
"Valley",0,0
"Eureka",0,0
"Benzie",0,0
"Sawyer",0,0
"Chambers",0,0
"Refugio",0,0
"Platte",0,0
"Cherry",0,0
"Mineral",0,0
"Lincoln",0,0
"Millard",0,0
"Dixie",0,0
"Lafayette",0,0
"Suwannee",0,0
"Juab",0,0
"Terrell",0,0
"Crockett",0,0
"Manassas Park",0,0
"Baca",0,0
"Las Animas",0,0
"Pamlico",0,0
"Cook",0,0
"Jones",0,0
"Kimball",0,0
"Yuma",0,0
"Washington",0,0
"Sheridan",0,0
"Pike",0,0
"Schley",0,0
"Taylor",0,0
"Crawford",0,0
"Marion",0,0
"James City",0,0
"Terrell",0,0
"Calhoun",0,0
"Lee",0,0
"Rich",0,0
"Bear Lake",0,0
"Cameron",0,0
"Pickett",0,0
"Clinton",0,0
"Wayne",0,0
"Holmes",0,0
"Fillmore",0,0
"Clay",0,0
"Webster",0,0
"Nuckolls",0,0
"Republic",0,0
"Baraga",0,0
"Hutchinson",0,0
"Douglas",0,0
"Brantley",0,0
"Charlton",0,0
"Polk",0,0
"Holt",0,0
"Boyd",0,0
"Keya Paha",0,0
"Saguache",0,0
"Custer",0,0
"Jackson",0,0
"Greenwood",0,0
"Coffey",0,0
"Woodson",0,0
"Newton",0,0
"Pulaski",0,0
"Benton",0,0
"Cherokee",0,0
"Musselshell",0,0
"Rosebud",0,0
"Wallace",0,0
"San Juan",0,0
"San Miguel",0,0
"Franklin",0,0
"Menard",0,0
"Schleicher",0,0
"Meagher",0,0
"Sweet Grass",0,0
"Marshall",0,0
"Wetzel",0,0
"Marengo",0,0
"Hale",0,0
"Perry",0,0
"Greene",0,0
"Jefferson",0,0
"Clark",0,0
"Pocahontas",0,0
"Calhoun",0,0
"Delta",0,0
"Smith",0,0
"Trousdale",0,0
"Dimmit",0,0
"Zavala",0,0
"Issaquena",0,0
"Sharkey",0,0
"Lincoln",0,0
"McDuffie",0,0
"Allen",0,0
"Grundy",0,0
"Floyd",0,0
"Union",0,0
"Benton",0,0
"Palo Alto",0,0
"Emmet",0,0
"Decatur",0,0
"Ringgold",0,0
"Warren",0,0
"King and Queen",0,0
"Forest",0,0
"Clay",0,0
"Columbia",0,0
"Wallowa",0,0
"Lawrence",0,0
"Morgan",0,0
"Clay",0,0
"Fayette",0,0
"Monroe",0,0
"Walsh",0,0
"Pembina",0,0
"Greeley",0,0
"Hamilton",0,0
"Dade",0,0
"Jasper",0,0
"Greene",0,0
"Orange",0,0
"Crawford",0,0
"Faribault",0,0
"Worth",0,0
"Buchanan",0,0
"Otero",0,0
"Douglas",0,0
"Texas",0,0
"Ohio",0,0
"Caldwell",0,0
"Jackson",0,0
"Pondera",0,0
"Union",0,0
"Cheyenne",0,0
"Banner",0,0
"Goshen",0,0
"Sioux",0,0
"Talbot",0,0
"Sargent",0,0
"Dickey",0,0
"Sibley",0,0
"Lamar",0,0
"Craig",0,0
"Cherokee",0,0
"Bond",0,0
"Pontotoc",0,0
"Houston",0,0
"Miner",0,0
"McCook",0,0
"Moody",0,0
"Franklin",0,0
"Pope",0,0
"Gonzales",0,0
"Armstrong",0,0
"Briscoe",0,0
"Iron",0,0
"Ontonagon",0,0
"Union",0,0
"Claiborne",0,0
"Juniata",0,0
"Stone",0,0
"Van Buren",0,0
"Lake",0,0
"Hamilton",0,0
"Alleghany",0,0
"Craig",0,0
"Harrison",0,0
"Burke",0,0
"Houston",0,0
"Madison",0,0
"Laclede",0,0
"Dillon",0,0
"Alcona",0,0
"Searcy",0,0
"Atchison",0,0
"Fremont",0,0
"Holt",0,0
"Cameron",0,0
"Jerauld",0,0
"Brule",0,0
"Charles Mix",0,0
"Warren",0,0
"White",0,0
"Osage",0,0
"Marion",0,0
"Webster",0,0
"Cottonwood",0,0
"Fayette",0,0
"Monroe",0,0
"Conecuh",0,0
"Wilcox",0,0
"Carroll",0,0
"Montgomery",0,0
"Kearney",0,0
"Teton",0,0
"Polk",0,0
"Sevier",0,0
"Washakie",0,0
"Vernon",0,0
"Madison",0,0
"Iron",0,0
"Leon",0,0
"Trego",0,0
"Rush",0,0
"Stanton",0,0
"Jackson",0,0
"Watonwan",0,0
"Hughes",0,0
"Coal",0,0
"Crane",0,0
"Upton",0,0
"Choctaw",0,0
"Grundy",0,0
"Livingston",0,0
"Lake",0,0
"Osceola",0,0
"Gallatin",0,0
"Tishomingo",0,0
"Hardin",0,0
"Tippah",0,0
"Jackson",0,0
"Custer",0,0
"Adams",0,0
"Madison",0,0
"Glades",0,0
"Archuleta",0,0
"Rio Grande",0,0
"Costilla",0,0
"Howard",0,0
"Antrim",0,0
"Marlboro",0,0
"Anson",0,0
"Benewah",0,0
"Nemaha",0,0
"Roscommon",0,0
"Sierra",0,0
"Howard",0,0
"Chickasaw",0,0
"Clayton",0,0
"Mercer",0,0
"Luce",0,0
"Schoolcraft",0,0
"Murray",0,0
"Chicot",0,0
"Hampshire",0,0
"Morgan",0,0
"Fulton",0,0
"Clay",0,0
"Jack",0,0
"Idaho",0,0
"Washington",0,0
"Eastland",0,0
"Callahan",0,0
"Shackelford",0,0
"Haskell",0,0
"Brown",0,0
"Taliaferro",0,0
"Hancock",0,0
"Kendall",0,0
"Berrien",0,0
"Irwin",0,0
"Worth",0,0
"Turner",0,0
"Crisp",0,0
"Cook",0,0
"Clark",0,0
"Kingsbury",0,0
"Norman",0,0
"Campbell",0,0
"Union",0,0
"Grainger",0,0
"Emmons",0,0
"Logan",0,0
"Greene",0,0
"Green Lake",0,0
"Waushara",0,0
"Fulton",0,0
"Izard",0,0
"Maries",0,0
"Miller",0,0
"Alleghany",0,0
"Doniphan",0,0
"Andrew",0,0
"Burt",0,0
"Audubon",0,0
"Butler",0,0
"Lee",0,0
"Owsley",0,0
"Clay",0,0
"Patrick",0,0
"Montmorency",0,0
"Oscoda",0,0
"Colfax",0,0
"Washington",0,0
"Logan",0,0
"Scott",0,0
"Alexander",0,0
"Marshall",0,0
"Huerfano",0,0
"DeWitt",0,0
"Morgan",0,0
"Jackson",0,0
"Richland",0,0
"Edwards",0,0
"Wayne",0,0
"Wabash",0,0
"Liberty",0,0
"McMullen",0,0
"Duval",0,0
"Jim Hogg",0,0
"Brooks",0,0
"Pike",0,0
"Ralls",0,0
"Grant",0,0
"Franklin",0,0
"Madison",0,0
"East Carroll",0,0
"Claiborne",0,0
"Tensas",0,0
"Montgomery",0,0
"Northampton",0,0
"Osage",0,0
"Grant",0,0
"Pendleton",0,0
"Sutton",0,0
"Edwards",0,0
"Kinney",0,0
"Ozark",0,0
"Essex",0,0
"Treutlen",0,0
"Clay",0,0
"Vilas",0,0
"Forest",0,0
"Lake of the Woods",0,0
"Maverick",0,0
"Torrance",0,0
"Early",0,0
"Sheridan",0,0
"McHenry",0,0
"LaMoure",0,0
"Butte",0,0
"Kidder",0,0
"Wells",0,0
"Willacy",0,0
"Franklin",0,0
"Hamilton",0,0
"Perry",0,0
"Yell",0,0
"Sherman",0,0
"Cheyenne",0,0
"Rawlins",0,0
"Wayne",0,0
"Salem",0,0
"Gaines",0,0
"Martin",0,0
"Lafayette",0,0
"Lewis",0,0
"Benson",0,0
"Nelson",0,0
"Vinton",0,0
"Hocking",0,0
"Lowndes",0,0
"Andrews",0,0
"Deaf Smith",0,0
"Quay",0,0
"Oldham",0,0
"Saluda",0,0
"Screven",0,0
"Jenkins",0,0
"Camden",0,0
"Lynn",0,0
"Garza",0,0
"Abbeville",0,0
"Butte",0,0
"Crook",0,0
"Carter",0,0
"Fallon",0,0
"Bowman",0,0
"Randolph",0,0
"Clay",0,0
"Coosa",0,0
"Carter",0,0
"Lunenburg",0,0
"Charlotte",0,0
"Hawkins",0,0
"Surry",0,0
"Southampton",0,0
"Gates",0,0
"Wheeler",0,0
"White",0,0
"De Witt",0,0
"Shelby",0,0
"Sanpete",0,0
"Steele",0,0
"Ransom",0,0
"Pleasants",0,0
"Harper",0,0
"Woods",0,0
"Alfalfa",0,0
"Barber",0,0
"Elliott",0,0
"Chariton",0,0
"Saline",0,0
"Russell",0,0
"Macon",0,0
"Cleburne",0,0
"Adams",0,0
"Gem",0,0
"Hot Spring",0,0
"Schuyler",0,0
"Doña Ana",0,
"Griggs",0,0
"Barton",0,0
"Slope",0,0
"Richland",0,0
"Custer",0,0
"Garfield",0,0
"Sumter",0,0
"Kemper",0,0
"Marion",0,0
"Winston",0,0
"Stone",0,0
"Lamar",0,0
"Hanson",0,0
"Lincoln",0,0
"Kit Carson",0,0
"Terry",0,0
"Cherokee",0,0
"Yadkin",0,0
"Macon",0,0
"Wayne",0,0
"Reynolds",0,0
"Lafayette",0,0
"Columbia",0,0
"Tunica",0,0
"Quitman",0,0
"Tallahatchie",0,0
"Yalobusha",0,0
"Henderson",0,0
"Hardeman",0,0
"Greenlee",0,0
"Hidalgo",0,0
"Beckham",0,0
"Greer",0,0
"Harmon",0,0
"Childress",0,0
"Barton",0,0
"Cedar",0,0
"Edmunds",0,0
"Walworth",0,0
"Ziebach",0,0
"Dewey",0,0
"Haakon",0,0
"Perry",0,0
"Greene",0,0
"George",0,0
"Bollinger",0,0
"McDowell",0,0
"Mingo",0,0
"Wayne",0,0
"Pierce",0,0
"Allendale",0,0
"McIntosh",0,0
"Butler",0,0
"Polk",0,0
"Warren",0,0
"Monroe",0,0
"Lincoln",0,0
"Minidoka",0,0
"Motley",0,0
"Cottle",0,0
"Dickens",0,0
"Floyd",0,0
"Cotton",0,0
"Jewell",0,0
"Mitchell",0,0
"Cloud",0,0
"Marion",0,0
"Jo Daviess",0,0
"Lane",0,0
"Scott",0,0
"Stevens",0,0
"Rockcastle",0,0
"Barbour",0,0
"Lawrence",0,0
"Dawes",0,0
"Jackson",0,0
"Thurston",0,0
"Blaine",0,0
"Tucker",0,0
"Crawford",0,0
"Davis",0,0
"Monroe",0,0
"Wolfe",0,0
"Powell",0,0
"Adams",0,0
"Hettinger",0,0
"Perkins",0,0
"Sioux",0,0
"Van Buren",0,0
"Atkinson",0,0
"Comanche",0,0
"Monroe",0,0
"Kiowa",0,0
"Caswell",0,0
"Chattahoochee",0,0
"Appomattox",0,0
"Mora",0,0
"Greeley",0,0
"Boone",0,0
"Oregon",0,0
"Stewart",0,0
"Houston",0,0
"Sullivan",0,0
"Crosby",0,0
"Stanton",0,0
"Johnson",0,0
"Monroe",0,0
"Prairie",0,0
"Woodruff",0,0
"Dallas",0,0
"Pawnee",0,0
"Norton",0,0
"Phillips",0,0
"Graham",0,0
"Gove",0,0
"Logan",0,0
"St. Martin",0,0
"Gallatin",0,0
"Adair",0,0
"Graham",0,0
"Deuel",0,0
"Keith",0,0
"Perkins",0,0
"McPherson",0,0
"Decatur",0,0
"Red Willow",0,0
"Rock",0,0
"Hickman",0,0
"Humphreys",0,0
"Mason",0,0
"Grayson",0,0
"Sequatchie",0,0
"Bledsoe",0,0
"San Jacinto",0,0
"Aitkin",0,0
"Kanabec",0,0
"Alpine",0,0
"Dawson",0,0
"Bleckley",0,0
"Pulaski",0,0
"Dodge",0,0
"White",0,0
"Jefferson",0,0
"Price",0,0
"Langlade",0,0
"Menominee",0,0
"Lincoln",0,0
"Carroll",0,0
"Westmoreland",0,0
"Jefferson",0,0
"Van Buren",0,0
"Phelps",0,0
"Gosper",0,0
"Monroe",0,0
"Love",0,0
"Twiggs",0,0
"Swisher",0,0
"Newton",0,0
"Ness",0,0
"Jefferson",0,0
"Newton",0,0
"Neshoba",0,0
"Harrison",0,0
"Monroe",0,0
"Fayette",0,0
"Koochiching",0,0
"Power",0,0
"Caribou",0,0
"Jackson",0,0
"Charles City",0,0
"Choctaw",0,0
"Pope",0,0
"Hardin",0,0
"Arthur",0,0
"Allen",0,0
"Neosho",0,0
"Greenup",0,0
"Hitchcock",0,0
"Hayes",0,0
"Frontier",0,0
"Dundy",0,0
"Sedgwick",0,0
"Phillips",0,0
"Muhlenberg",0,0
"McLean",0,0
"Johnson",0,0
"Jones",0,0
"Billings",0,0
"Antelope",0,0
"Gasconade",0,0
"Edmonson",0,0
"Butler",0,0
"Tate",0,0
"Phillips",0,0
"Washita",0,0
"Kewaunee",0,0
"Carroll",0,0
"Brown",0,0
"Evans",0,0
"Knott",0,0
"Martin",0,0
"Wheeler",0,0
"Lenoir",0,0
"Wheeler",0,0
"Hemphill",0,0
"Roberts",0,0
"Lipscomb",0,0
"Beaver",0,0
"Seward",0,0
"Big Horn",0,0
"Big Horn",0,0
"Elk",0,0
"McKean",0,0
"Covington",0,0
"Brown",0,0
"Estill",0,0
"Collingsworth",0,0
"Colorado",0,0
"Lac qui Parle",0,0
"Grant",0,0
"Deuel",0,0
"Lincoln",0,0
"Candler",0,0
"Webster",0,0
"Jasper",0,0
"Jones",0,0
"Glasscock",0,0
"Sterling",0,0
"Mitchell",0,0
"Scurry",0,0
"Reagan",0,0
"Major",0,0
"Pend Oreille",0,0
"McLean",0,0
"Hancock",0,0
"Wright",0,0
"Sabine",0,0
"Crawford",0,0
"Pocahontas",0,0
"Bath",0,0
"Chickasaw",0,0
"Morehouse",0,0
"Comanche",0,0
"Somervell",0,0
"Cass",0,0
"Mineral",0,0
"Foster",0,0
"Adair",0,0
"Delaware",0,0
"San Saba",0,0
"Llano",0,0
"Warren",0,0
"Henderson",0,0
"Jackson",0,0
"Cross",0,0
"Marion",0,0
"Henry",0,0
"Madison",0,0
"Harney",0,0
"Adams",0,0
"Marquette",0,0
"Clark",0,0
"Knox",0,0
"Scotland",0,0
"Garrard",0,0
"Washington",0,0
"Marion",0,0
"LaSalle",0,0
"Worth",0,0
"Sherman",0,0
"Campbell",0,0
"Harding",0,0
"Adair",0,0
"Union",0,0
"Massac",0,0
"Bennett",0,0
"Brown",0,0
"Thomas",0,0
"Logan",0,0
"Merrick",0,0
"Carlisle",0,0
"Lawrence",0,0
"Winn",0,0
"Mercer",0,0
"Stark",0,0
"Stewart",0,0
"Randolph",0,0
"Clay",0,0
"Keokuk",0,0
"Greene",0,0
"Scott",0,0
"Trinity",0,0
"Bon Homme",0,0
"Attala",0,0
"Bourbon",0,0
"Cumberland",0,0
"Logan",0,0
"Wyoming",0,0
"Boone",0,0
"Mitchell",0,0
"Murray",0,0
"Prentiss",0,0
"Emanuel",0,0
"Catahoula",0,0
"Pawnee",0,0
"Unicoi",0,0
"Webster",0,0
"Braxton",0,0
"Clay",0,0
"Nicholas",0,0
"Hickory",0,0
"Little River",0,0
"Lincoln",0,0
"Amite",0,0
"Pike",0,0
"Walthall",0,0
"Valley",0,0
"Lemhi",0,0
"Hancock",0,0
"Ohio",0,0
"Montgomery",0,0
"Perry",0,0
"De Baca",0,0
"Roosevelt",0,0
"Pike",0,0
"Pickens",0,0
"Ellis",0,0
"Perry",0,0
"Grundy",0,0
"Rio Blanco",0,0
"Johnson",0,0
"Hinsdale",0,0
"Ouray",0,0
"Gray",0,0
"Donley",0,0
"Calhoun",0,0
"Wayne",0,0
"Morgan",0,0
"Perry",0,0
"Banks",0,0
"Pierce",0,0
"Wayne",0,0
"Johnston",0,0
"Atoka",0,0
"Lander",0,0
"Pershing",0,0
"Bracken",0,0
"Robertson",0,0
"Florence",0,0
"Wadena",0,0
"Carter",0,0
"Gilliam",0,0
"Boone",0,0
"Stonewall",0,0
"Jones",0,0
"Coleman",0,0
"Assumption",0,0
"Calhoun",0,0
"Garfield",0,0
"Roberts",0,0
"Pushmataha",0,0
"Clay",0,0
"Wagoner",0,0
"Ashley",0,0
"Drew",0,0
"Desha",0,0
"Lincoln",0,0
"Perry",0,0
"Irion",0,0
"Caldwell",0,0
"Meade",0,0
"Sheridan",0,0
