"DateTime","New York, NY","Houston, TX","Phoenix, AZ","San Francisco, CA","Denver, CO","Boston, MA","Indianapolis, IN","Columbus, OH","Jacksonville, FL","Cleveland, OH","Louisville, KY","Memphis, TN","Wichita, KS","Des Moines, IA","Savannah, GA","Miami Beach, FL"
"2019-01-01 00:00:00",4.15,3.28,5.73,5.3,5.52,5.66,5.86,3.68,3.4,4.16,2.91,3.3,3.31,7.38,4.15,0.29
"2019-02-01 00:00:00",5.09,3.37,5.24,5.79,5.87,5.62,5.72,3.45,3.65,4.49,2.81,2.9,3.27,7.66,3.44,0.54
"2019-03-01 00:00:00",3.9,3.11,4.92,5.83,5,4.89,4.09,2.92,3.81,3.41,2.68,3.26,2.64,6.28,6.62,1.05
"2019-04-01 00:00:00",4.49,3.42,5.48,6.32,4.78,4.68,4.98,2.69,3.67,3.66,2.46,3.04,2.28,5.87,3.47,0.97
"2019-05-01 00:00:00",4.28,3.84,5.88,5.72,5.57,5.39,4.93,3.43,3.76,4.06,2.96,3.85,1.92,7.39,3.86,1.07
"2019-06-01 00:00:00",3.99,3.22,5.27,5.97,5.21,5.04,5.39,3.29,3.88,3.77,2.77,3.32,1.98,5.04,3.65,1.01
"2019-07-01 00:00:00",4.33,3.25,4.7,5.3,4.75,4.65,4.18,2.66,3.2,3.27,2.91,2.74,1.78,3.91,2.25,1.17
"2019-08-01 00:00:00",4.24,3.4,4.77,6.19,5.14,4.77,4.3,3.13,3.07,3.23,3.23,3.12,1.71,5.62,3.76,1.38
"2019-09-01 00:00:00",4.69,4,6.13,6.18,5.8,5.24,6.45,3.87,4.02,3.88,3.46,4.19,2.58,6.14,4.82,1.49
"2019-10-01 00:00:00",4.59,3.81,5.3,6.18,5.93,5.76,5.73,3.79,3.96,4.1,3.22,3.39,2.2,6.97,3.49,1.68
"2019-11-01 00:00:00",4.21,3.69,5.31,6.23,6.53,4.86,4.66,3.65,3.62,3.48,3.21,3.62,2.6,6.24,4.1,1.7
"2019-12-01 00:00:00",4.25,3.84,5.26,5.61,6.25,5.22,4.33,3.51,4.2,3.32,3.06,3.43,2.27,5.18,4.27,1.78
"2020-01-01 00:00:00",4.31,3.77,4.98,6,5.68,5.27,4.7,3.74,4.22,3.42,3.41,3.88,2.58,5.61,3.31,1.82
"2020-02-01 00:00:00",4.37,4.04,5.46,6.06,6.49,5.62,5.96,4.37,4.23,3.82,3.92,4.62,3.33,6.54,4.04,1.75
"2020-03-01 00:00:00",5.41,4.56,6.18,6.98,7.29,6.52,5.36,4.94,4.67,4.67,3.94,4.41,3.43,6.54,4.64,1.79
"2020-04-01 00:00:00",10.72,10.69,14.92,10.8,12.69,10.99,8.43,9.27,9.86,7.64,7.03,7.23,6.36,9.81,6.19,3.72
"2020-05-01 00:00:00",11.27,8.86,10.95,11.67,12.53,11.06,7.97,7.78,8.18,6.97,6.15,6.97,5.43,8.89,4.71,5.33
"2020-06-01 00:00:00",12.04,8.17,11.87,13.19,12.56,12.15,8.08,8.62,7.87,7.29,5.72,6.69,4.55,11.3,5.63,6
"2020-07-01 00:00:00",13.3,8.5,13.01,14.43,12.12,12.46,7.81,8.83,8.94,7.24,6.32,6.31,4.59,10.73,5.09,5.08
"2020-08-01 00:00:00",15.15,9.5,12.29,15.62,13.11,14.18,9.81,10.03,9.74,7.95,6.83,6.57,4.64,12.52,6.63,5.55
"2020-09-01 00:00:00",14.69,10.5,13.06,17.57,13.99,15.92,8.69,9.78,10.35,7.77,8.64,8.02,4.99,13.94,6.82,6.02
"2020-10-01 00:00:00",15.34,9.97,13.63,18.02,14.43,16.43,11.14,11.83,10.48,9.35,7.84,7.3,6.08,14.98,6.43,5.28
"2020-11-01 00:00:00",14.82,8.97,13.02,18.63,14.16,16.28,10.37,11.32,9.07,8.74,8.27,8.05,6.47,14.83,7.87,3.77
"2020-12-01 00:00:00",14.57,9.64,13.34,18.98,15.21,16.82,10.12,11.41,9.6,9.2,8.05,7.76,6.15,14.73,6.15,2.88
"2021-01-01 00:00:00",15.28,9.41,13.1,20.59,15.6,18.64,10.99,11.62,9.3,8.32,7.13,7.98,6.73,13.73,6.95,2.77
"2021-02-01 00:00:00",14.96,10.7,13.42,21.7,16.49,18.59,12.28,12.29,10.28,9.71,8.84,8.24,8.47,14.96,5.5,2.59
"2021-03-01 00:00:00",14.67,9.93,14.21,21.75,15.61,19.07,13.08,13.13,10.14,9.56,8.28,7.95,8.16,18.47,5.5,2.63
"2021-04-01 00:00:00",14.15,8.86,13.27,20.29,14.21,18.39,12.33,11.33,9.64,8.79,7.89,8.02,7.58,15.64,5.44,2.84
"2021-05-01 00:00:00",13.68,9.36,13.03,20.45,13.82,18.35,11.66,11.53,10.42,8.2,8.3,6.62,7.75,14.88,5.78,2.98
"2021-06-01 00:00:00",13.66,8.87,13.81,18.74,13.95,18.02,11.79,10.57,9.91,8.16,8,6.66,8.2,14.38,6.59,3.02
"2021-07-01 00:00:00",13.6,8.6,13.85,20.2,13.76,17.53,11.65,11.25,10.08,9.19,7.93,7.4,8.72,16.29,5.61,3.84
"2021-08-01 00:00:00",14.23,9.47,15.95,21.57,16.16,19.71,16.13,12.7,16.49,9.85,8.85,8.24,8.12,18.23,6.86,3.7
